,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
162,-17.555,-41.838,303.2,1.0,1.0,2021-07-14,01:25,T,54,6.1NRT,287.7,7.6,N
163,-17.538,-40.152,316.8,1.2,1.1,2021-07-14,01:25,T,94,6.1NRT,289.5,19.3,N
164,-17.536,-40.141,399.8,1.2,1.1,2021-07-14,01:25,T,100,6.1NRT,295.9,325.6,N
165,-17.534,-40.13,341.4,1.2,1.1,2021-07-14,01:25,T,100,6.1NRT,289.7,59.7,N
166,-17.666,-40.192,310.0,1.2,1.1,2021-07-14,01:25,T,79,6.1NRT,283.5,14.7,N
167,-19.901,-47.535,304.3,1.7,1.3,2021-07-14,01:25,T,59,6.1NRT,287.2,16.8,N
168,-19.899,-47.519,309.5,1.7,1.3,2021-07-14,01:25,T,77,6.1NRT,288.2,23.9,N
169,-19.682,-42.111,303.6,1.0,1.0,2021-07-14,01:25,T,56,6.1NRT,287.7,7.0,N
170,-20.233,-40.241,303.4,1.1,1.0,2021-07-14,01:25,T,14,6.1NRT,290.5,5.4,N
171,-21.585,-46.727,317.3,1.6,1.2,2021-07-14,01:25,T,95,6.1NRT,285.9,34.6,N
172,-15.555,-47.277,300.3,1.4,1.2,2021-07-14,01:25,T,23,6.1NRT,285.1,8.7,N
173,-22.269,-46.729,308.3,1.6,1.2,2021-07-14,01:25,T,74,6.1NRT,282.4,22.7,N
174,-17.282,-44.818,331.8,1.1,1.0,2021-07-14,01:25,T,100,6.1NRT,287.8,37.7,N
175,-21.596,-41.352,324.8,1.0,1.0,2021-07-14,01:25,T,100,6.1NRT,287.0,23.9,N
176,-22.849,-48.541,306.3,2.2,1.4,2021-07-14,01:25,T,67,6.1NRT,283.9,30.6,N
177,-17.079,-50.229,303.7,2.4,1.5,2021-07-14,01:25,T,56,6.1NRT,291.0,24.4,N
178,-15.611,-46.135,301.0,1.2,1.1,2021-07-14,01:25,T,37,6.1NRT,286.8,7.4,N
179,-15.56,-47.271,307.7,1.4,1.2,2021-07-14,01:25,T,72,6.1NRT,285.2,16.8,N
180,-22.847,-48.52,305.5,2.2,1.4,2021-07-14,01:25,T,65,6.1NRT,282.9,28.4,N
181,-22.939,-46.924,307.0,1.7,1.3,2021-07-14,01:25,T,70,6.1NRT,284.7,22.1,N
182,-22.914,-43.733,310.3,1.1,1.0,2021-07-14,01:25,T,67,6.1NRT,291.5,11.1,N
183,-22.904,-43.735,308.3,1.1,1.0,2021-07-14,01:25,T,74,6.1NRT,291.3,10.2,N
184,-24.958,-42.472,317.8,1.0,1.0,2021-07-14,01:25,T,94,6.1NRT,292.3,15.7,N
185,-6.298,-47.079,303.4,1.1,1.0,2021-07-14,01:30,T,55,6.1NRT,293.2,5.2,N
186,-5.8,-43.442,325.4,1.1,1.1,2021-07-14,01:30,T,100,6.1NRT,290.9,27.6,N
187,-5.809,-43.44,303.1,1.1,1.1,2021-07-14,01:30,T,53,6.1NRT,290.9,6.2,N
188,-6.315,-44.015,320.1,1.0,1.0,2021-07-14,01:30,T,100,6.1NRT,291.4,19.2,N
189,-6.274,-43.672,302.4,1.1,1.0,2021-07-14,01:30,T,49,6.1NRT,292.0,4.3,N
190,-6.273,-43.662,302.7,1.1,1.0,2021-07-14,01:30,T,51,6.1NRT,291.8,4.4,N
191,-6.385,-44.177,318.8,1.0,1.0,2021-07-14,01:30,T,97,6.1NRT,291.3,17.2,N
192,-6.383,-44.168,335.3,1.0,1.0,2021-07-14,01:30,T,100,6.1NRT,292.3,37.9,N
193,-6.394,-44.176,303.3,1.0,1.0,2021-07-14,01:30,T,54,6.1NRT,289.8,5.4,N
194,-6.393,-44.166,320.0,1.0,1.0,2021-07-14,01:30,T,100,6.1NRT,291.4,18.8,N
195,-6.371,-43.769,303.3,1.1,1.0,2021-07-14,01:30,T,54,6.1NRT,291.7,5.4,N
196,-6.876,-46.861,303.2,1.1,1.0,2021-07-14,01:30,T,54,6.1NRT,292.2,5.8,N
197,-6.883,-46.864,308.9,1.1,1.0,2021-07-14,01:30,T,17,6.1NRT,292.2,7.9,N
